0,1,2,3,4,5,6,7
Bitcoin,BTC,7130.81,$ 630.51 M,$ 6.57 B,$ 130.57 B,B+,-1.39%
Ethereum,ETH,164.73,$ 181.23 M,$ 4.06 B,$ 18.19 B,B+,0.37%
Bitcoin Cash,BCH,249.51,$ 62.05 M,$ 696.85 M,$ 4.58 B,C,-0.45%
EOS,EOS,2.612,$ 9.20 M,$ 794.73 M,$ 2.67 B,C+,-3.30%
Bitcoin SV,BSV,184.37,$ 2.98 M,$ 428.46 M,$ 3.39 B,D+,-3.61%
XRP,XRP,0.1912,$ 71.39 M,$ 493.65 M,$ 19.12 B,B-,-1.29%
Litecoin,LTC,44.37,$ 29.65 M,$ 411.66 M,$ 2.87 B,B-,0.59%
Chainlink,LINK,2.696,$ 27.69 M,$ 243.08 M,$ 2.70 B,,10.13%
Ethereum Classic,ETC,5.462,$ 3.08 M,$ 280.01 M,$ 623.28 M,C,-1.09%
Tezos,XTZ,1.913,$ 22.13 M,$ 123.15 M,$ 1.55 B,C+,4.02%
Okex,OKB,4.812,"$ 4,426.98",$ 108.72 M,$ 1.44 B,,-0.03%
Binance Coin,BNB,14.4,$ 32.56 M,$ 210.10 M,$ 2.24 B,C+,-2.31%
TRON,TRX,0.01326,$ 181.39 k,$ 106.62 M,$ 885.29 M,C,-2.01%
True Chain,TRUE,0.2833,-,$ 81.10 M,$ 28.33 M,,-2.27%
Dash,DASH,70.62,$ 2.30 M,$ 108.75 M,$ 665.75 M,C+,-1.59%
Cosmos,ATOM,2.318,$ 1.09 M,$ 56.96 M,$ 442.02 M,C,-1.15%
ZCash,ZEC,35.69,$ 1.05 M,$ 85.65 M,$ 347.45 M,C+,-2.54%
Bitcoin BEP2,BTCB,7131.15,$ 44.58 M,$ 43.36 M,-,,-1.35%
Tether,USDT,1.001,$ 11.78 M,$ 62.01 M,$ 4.65 B,,0.00%
NEO,NEO,7.57,$ 416.30 k,$ 78.38 M,$ 757.00 M,C+,-2.10%
Monero,XMR,55.43,$ 1.89 M,$ 35.87 M,$ 970.80 M,C+,-4.61%
Crypto.com,MCO,5.27,$ 1.95,$ 33.02 M,$ 166.48 M,,-0.61%
Cardano,ADA,0.03488,$ 710.30 k,$ 36.23 M,$ 904.34 M,B-,-0.63%
Ontology,ONT,0.415,$ 0,$ 35.61 M,$ 264.47 M,C,-1.60%
VeChain,VET,0.003708,$ 46.47 k,$ 32.53 M,$ 205.63 M,C,4.00%
Stellar,XLM,0.04765,$ 5.36 M,$ 155.09 M,$ 963.65 M,C+,-3.15%
QTUM,QTUM,1.356,$ 27.67 k,$ 141.63 M,$ 135.57 M,C-,-1.86%
Kyber Network,KNC,0.4808,$ 3.21 M,$ 27.93 M,$ 101.56 M,,5.90%
Huobi Token,HT,3.891,$ 0,$ 71.07 M,$ 1.95 B,,-0.96%
Algorand,ALGO,0.1838,$ 1.15 M,$ 31.71 M,$ 117.89 M,,-0.59%
Matic Network,MATIC,0.01276,-,$ 25.06 M,$ 127.64 M,,2.87%
WazirX,WRX,0.1455,-,$ 24.03 M,-,,5.97%
Basic,BAT,0.1574,$ 159.69 k,$ 25.03 M,$ 236.07 M,,0.68%
Bytom,BTM,0.05911,-,$ 24.04 M,$ 83.17 M,D,-0.96%
Zynecoin,ZYN,3.711,-,$ 22.05 M,$ 189.31 M,,-26.68%
OmiseGo,OMG,0.5947,$ 141.69 k,$ 36.97 M,$ 83.41 M,C-,2.65%
USD Coin,USDC,0.9998,$ 661.60 k,$ 19.55 M,$ 696.94 M,,-0.02%
IOS token,IOST,0.003351,$ 5.56,$ 15.72 M,$ 70.38 M,D,0.00%
Paxos Standard,PAX,0.9999,$ 54.57 k,$ 102.83 M,$ 253.90 M,,1.43%
ICON Project,ICX,0.2444,$ 43.42 k,$ 15.88 M,$ 97.81 M,C-,-0.90%
GIFTO,GTO,0.009423,-,$ 12.22 M,$ 9.42 M,,-5.77%
SwftCoin,SWFTC,0.001095,-,$ 12.13 M,$ 10.95 M,,-0.45%
IOTA,MIOTA,0.1638,$ 879.56 k,$ 11.06 M,$ 455.29 M,B-,1.49%
YOU Chain,YOU,0.0287,-,$ 10.43 M,$ 81.96 M,,-6.44%
Kava,KAVA,0.5617,-,$ 10.25 M,-,,-3.18%
Hedera Hashgraph,HBAR,0.03344,$ 155.30 k,$ 9.93 M,$ 112.95 M,,-1.05%
Molecular Future,MOF,0.2879,-,$ 9.92 M,$ 28.79 M,,0.47%
True USD,TUSD,0.999,$ 131.82 k,$ 227.28 M,$ 136.39 M,,-0.13%
IoT Chain,ITC,0.09833,-,$ 7.21 M,$ 9.83 M,,1.25%
Waves,WAVES,0.9792,$ 4.11 M,$ 14.09 M,$ 97.92 M,C,0.59%
High,HPB,0.08892,-,$ 6.54 M,$ 8.89 M,D,0.65%
0x,ZRX,0.1681,$ 1.13 M,$ 6.82 M,$ 168.10 M,,2.06%
Cortex,CTXC,0.08467,$ 0,$ 7.08 M,$ 25.38 M,,-3.22%
Nuls,NULS,0.2013,-,$ 7.83 M,$ 8.05 M,D-,3.37%
ArcBlock,ABT,0.08536,-,$ 5.61 M,$ 15.88 M,,2.40%
MonaCoin,MONA,1.25,-,$ 5.68 M,$ 85.25 M,,2.10%
Decentraland,MANA,0.02703,$ 101.91,$ 5.32 M,$ 59.41 M,,-0.26%
BitTorrent,BTT,0.0002139,"$ 3,243.51",$ 6.07 M,$ 211.78 M,,0.00%
Bitcoin Diamond,BCD,0.507,$ 0,$ 5.43 M,$ 93.05 M,E+,-1.20%
aelf,ELF,0.06482,$ 44.71,$ 5.09 M,$ 57.04 M,,-6.86%
Crypto.com,CRO,0.05148,$ 0,$ 5.55 M,$ 5.15 B,,0.14%
Zilliqa,ZIL,0.004492,$ 23.67 k,$ 4.98 M,$ 44.68 M,D,-3.08%
Acute,AAC,0.00164,-,$ 4.57 M,$ 1.64 M,,4.55%
NEM,XEM,0.03886,$ 38.24 k,$ 12.16 M,$ 349.77 M,C,0.18%
Bitcoin Gold,BTG,7.737,$ 90.53 k,$ 7.27 M,$ 133.09 M,C-,0.00%
Multi,DAI,1.016,$ 319.15 k,$ 4.25 M,$ 65.00 M,,0.30%
Nebulas,NAS,0.2795,-,$ 4.94 M,$ 27.95 M,D,-0.63%
Seele,SEELE,0.05648,$ 0,$ 9.61 M,$ 56.48 M,,5.74%
Kcash,KCASH,0.006917,-,$ 4.16 M,$ 6.92 M,,-23.62%
Steem,STEEM,0.1717,-,$ 4.16 M,$ 17.12 M,C+,-1.27%
Ontology Gas,ONGAS,0.08635,-,$ 4.15 M,-,,-0.25%
Measurable,MSDT,0.007008,-,$ 7.25 M,$ 7.01 M,,2.09%
Origin Protocol,OGN,0.2546,-,$ 4.09 M,$ 254.64 M,,1.74%
Ravencoin,RVN,0.01633,"$ 2,334.00",$ 4.03 M,$ 12.50 M,C-,-0.43%
Civic,CVC,0.02032,$ 0,$ 4.01 M,$ 20.32 M,,3.26%
Tripio,TRIO,0.0007709,$ 0,$ 3.90 M,$ 3.85 M,,-8.24%
CyberVein,CVT,0.03815,$ 0,$ 3.52 M,$ 81.93 M,,67.71%
apM Coin,APM,0.1867,-,$ 3.46 M,$ 338.37 M,,-2.82%
COTI,COTI,0.02004,-,$ 3.43 M,-,,-2.43%
Gas,GAS,1.112,$ 0,$ 4.06 M,$ 11.27 M,,0.00%
Status,SNT,0.01654,$ 585.96,$ 4.44 M,$ 112.58 M,,-2.93%
Dogecoin,DOGE,0.001997,$ 44.17 k,$ 71.49 M,$ 247.69 M,C+,3.70%
Theta,THETA,0.08407,-,$ 3.10 M,$ 84.07 M,,-0.59%
Waltonchain,WTC,0.2543,$ 0,$ 3.14 M,$ 17.80 M,D-,3.66%
Enjin Coin,ENJ,0.09434,$ 27.27 k,$ 3.01 M,$ 94.34 M,,-2.00%
Elrond,ERD,0.0008557,-,$ 2.64 M,-,,-7.69%
Sologenic,SOLO,0.2266,$ 882.37 k,$ 2.62 M,-,,0.71%
BiboxCoin,BIX,0.08272,-,$ 2.60 M,$ 20.80 M,,6.03%
Augur,REP,10.1,$ 908.33 k,$ 11.65 M,$ 111.10 M,,-0.30%
FLETA,FLETA,0.004136,-,$ 2.58 M,$ 8.27 M,,7.41%
VITE,VITE,0.01055,-,$ 2.56 M,$ 10.55 M,,-4.52%
Orchid Protocol,OXT,0.135,$ 1.92 M,$ 2.54 M,$ 135.00 M,,-1.10%
Lisk,LSK,1.038,$ 38.23 k,$ 2.84 M,$ 165.92 M,C-,1.54%
NEXO,NEXO,0.1175,$ 0,$ 2.43 M,$ 117.52 M,,-1.61%
Loopring,LRC,0.02924,$ 18.46,$ 2.44 M,$ 40.79 M,,1.49%
Internet,INT,0.01391,$ 0,$ 2.40 M,$ 518.92 k,,1.04%
STP Network,STPT,0.01405,-,$ 2.39 M,$ 27.29 M,,-3.43%
HyperCash,HC,1.062,-,$ 12.86 M,$ 47.35 M,D,0.00%
TenX,PAY,0.03109,$ 0,$ 2.30 M,$ 6.38 M,,-2.46%
BlockMason,BCPT,0.01612,$ 0,$ 2.12 M,$ 1.87 M,,4.15%
